Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Bad Habits","Ed Sheeran","=","Favorite Songs","Favorite","GBAHS2100318","3rmo8F54jFF8OgYsqTxm5d"
"Counting Stars","OneRepublic","Native","Favorite Songs","Favorite","USUM71301306","2tpWsVSb9UEmDRxAl1zhX1"
"Break My Heart","Dua Lipa","Future Nostalgia","Favorite Songs","Favorite","GBAHT1901303","017PF4Q3l4DBUiWoXk4OWT"
"Atlantis","Seafret","Tell Me It's Real (Expanded Edition)","Favorite Songs","Favorite","GBARL1500316","1Fid2jjqsHViMX6xNH70hE"
"Lose Control","MEDUZA","Lose Control","Favorite Songs","Favorite","DEUM71905792","7CHi4DtfK4heMlQaudCuHK"
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","Favorite Songs","Favorite","USUM71814888","3KkXRkHbMCARz0aVfEt68P"
"rockstar (feat. 21 Savage)","Post Malone","beerbongs & bentleys","Favorite Songs","Favorite","USUM71710087","0e7ipj03S05BNilyu5bRzt"
"My Universe","Coldplay","Music Of The Spheres","Favorite Songs","Favorite","GBAYE2100952","46HNZY1i7O6jwTA7Slo2PI"
"Uptown Girl","Billy Joel","The Essential Billy Joel","Favorite Songs","Favorite","USSM18300270","3CSpzkoL1XgDBZ1q9aDCUV"
"We Didn't Start the Fire","Billy Joel","The Essential Billy Joel","Favorite Songs","Favorite","USSM18900217","38bDGWuyYdSdNfrFfbCiVS"
"Maniac","Michael Sembello","Flashdance (Original Soundtrack From The Motion Picture)","Favorite Songs","Favorite","USPR38302462","0QKfiqpEU4h9ycPSzIFwYe"
"Self Control","Laura Branigan","Self Control","Favorite Songs","Favorite","USAT20903047","6JNJERZGJwDVgkmbohBw7u"
"Holding Out for a Hero - From ""Footloose"" Soundtrack","Bonnie Tyler","Secret Dreams and Forbidden Fire","Favorite Songs","Favorite","USSM18300449","5Hyr47BBGpvOfcykSCcaw9"
"Part-Time Lover","Stevie Wonder","In Square Circle","Favorite Songs","Favorite","USMO18500543","0Dm43YLUlGdePpSbI1ct8h"
"Moskau","Dschinghis Khan","Evo Mix","Favorite Songs","Favorite","ushm21381229","4m7p2dejJrMiiA1vg8LDPK"
"Hot Stuff","Donna Summer","Bad Girls","Favorite Songs","Favorite","USPR37907202","2zMJN9JvDlvGP4jB03l1Bz"
"I Will Survive - 1981 Re-recording","Gloria Gaynor","I Will Survive","Favorite Songs","Favorite","NLG620408677","7DD1ojeTUwnW65g5QuZw7X"
"Born to Be Alive - The Original","Patrick Hernandez","Born to Be Alive (The Original)","Favorite Songs","Favorite","FRX957900007","3XIEWK1V9n25PS9Vb6axj5"
"Brother Louie","Modern Talking","Ready For Romance","Favorite Songs","Favorite","DEC738600004","5zWZ9iNevP0397xB3jWV2z"
"Gloria","Laura Branigan","Branigan","Favorite Songs","Favorite","USAT28400033","1mskmld5ZKEhRaNvYVPoqZ"
"She Works Hard For The Money","Donna Summer","She Works Hard For The Money","Favorite Songs","Favorite","USPR39402405","3FlOciKDqFlTMPeC7t92Qy"
"It's Raining Men - Single Version","The Weather Girls","It's Raining Men","Favorite Songs","Favorite","USSM18200686","5kErKPSPv8EgdZ04R3el1K"
"YMCA","Village People","Can't Stop the Music (Original Soundtrack 1980)","Favorite Songs","Favorite","FR22F8000020","3ypMsqUwfNFMiooMLVHfkp"
"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA","Voulez-Vous","Favorite Songs","Favorite","SEAYD7901120","3vkQ5DAB1qQMYO4Mr9zJN6"
"Dream On","Aerosmith","Aerosmith","Favorite Songs","Favorite","USSM10011897","5MxNLUsfh7uzROypsoO5qe"
"Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","Jung Kook","Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","Favorite Songs","Favorite","QZNMY2232113","1RDvyOk4WtPCtoqciJwVn8"
"Eastside (with Halsey & Khalid)","benny blanco","FRIENDS KEEP SECRETS","Favorite Songs","Favorite","USUM71809132","7FGq80cy8juXBCD2nrqdWU"
"Devil Doesn’t Bargain","Alec Benjamin","(Un)Commentary","Favorite Songs","Favorite","USAT22200712","1zu2GKHPJIsUu80SUJX4H4"
"Until I Found You","Stephen Sanchez","Easy On My Eyes","Favorite Songs","Favorite","USUG12103651","6VhuP99TE6gYNQRJIlAWFD"
"traitor","Olivia Rodrigo","SOUR","Favorite Songs","Favorite","USUG12101243","5CZ40GBx1sQ9agT82CLQCT"
"Let Me Down Slowly (feat. Alessia Cara)","Alec Benjamin","Let Me Down Slowly (feat. Alessia Cara)","Favorite Songs","Favorite","USAT21813026","1roCmBlcpV7LzsmB7pmCyt"
"House of Memories","Panic! At The Disco","Death of a Bachelor","Favorite Songs","Favorite","USAT21503701","2DgdHcjWmO3qd50RzuBLgZ"
"Havana (feat. Young Thug)","Camila Cabello","Havana (feat. Young Thug)","Favorite Songs","Favorite","USSM11706905","0ofbQMrRDsUaVKq2mGLEAb"
"New Rules","Dua Lipa","Dua Lipa (Deluxe)","Favorite Songs","Favorite","GBAHT1600310","2ekn2ttSfGqwhhate0LSR0"
"Feel It Still","Portugal. The Man","Woodstock","Favorite Songs","Favorite","USAT21700437","6QgjcU0zLnzq5OrUoSZ3OK"
"Another One Bites The Dust - Remastered 2011","Queen","The Game (2011 Remaster)","Favorite Songs","Favorite","GBUM71029605","5vdp5UmvTsnMEMESIF2Ym7"
"Watermelon Sugar","Harry Styles","Fine Line","Favorite Songs","Favorite","USSM11912587","6UelLqGlWMcVH1E5c4H7lY"
"Wrecking Ball","Miley Cyrus","TikTok Viral Hits 2022 | 2023","Favorite Songs","Favorite","USRC11301214","1b6iFMpSMldWIx3erhOnP4"
"Waka Waka (Esto es Africa) (feat. Freshlyground)","Shakira","Waka Waka (Esto es Africa) (feat. Freshlyground)","Favorite Songs","Favorite","USSM11001354","0W8nDs4H2cqxxAgszNMYO3"
"You Can't Stop the Girl (From ""Maleficent: Mistress of Evil"")","Bebe Rexha","Modern Pop Ballads","Favorite Songs","Favorite","USWB11902193","3suH6pPeED14Yd5cTu28U6"
"خلينا نعيش","Mira Habash","خلينا نعيش","Favorite Songs","Favorite","QZNWQ2084333","4fbV3TM7yCCB9SOBWVkq3G"
"Wicked Game","Harddope","Wicked Game","Favorite Songs","Favorite","QM42K2108382","2z3TV2ulPlaeBnENHCkkmq"
"Walk This Way","Aerosmith","Toys In The Attic","Favorite Songs","Favorite","USSM19906481","4JfuiOWlWCkjP6OKurHjSn"
"Without Me","Halsey","Manic","Favorite Songs","Favorite","USUM71813499","6FZDfxM3a3UCqtzo5pxSLZ"
"Venus","Bananarama","The Greatest Hits Collection (Collector Edition)","Favorite Songs","Favorite","GBAAP1200056","2jAocF8z8pMh7Bt1Qibl1j"
"عشانك","siilawy","عشانك","Favorite Songs","Favorite","QZK6H2173245","7M6I8pnU95G2iImrR0PjIR"
"Yaffa","Fairuz","Jerusalem in My Heart","Favorite Songs","Favorite","FR2X41897016","0jnfSPZDWKlpqEAcW1ZV51"
"We Didn't Start the Fire","Billy Joel","50 Years of the Piano Man","Favorite Songs","Favorite","USSM18900217","7pxNeSBkm3gUYGCmwnp2OE"
"What Ifs (feat. Lauren Alaina)","Kane Brown","Kane Brown","Favorite Songs","Favorite","USRN11600859","7zVCrzzEJU7u24sbJPXA5W"
"Way down We Go","KALEO","A/B","Favorite Songs","Favorite","USAT21502122","0y1QJc3SJVPKJ1OvFmFqe6"
"Y.m.c.a - Village People","Baby Land","Le tagliatelle di nonna Pina","Favorite Songs","Favorite","IT0960500773","7GAVqYrWrNDggki1MBwNfg"
"Zaman Al 3a2areb","Wadih El Cheikh","Zaman Al 3a2areb","Favorite Songs","Favorite","LBA0H2004316","63244HLlSQNW2wU8xSBnmd"
"موطني","مراد السويطي","موطني","Favorite Songs","Favorite","QZHNA2003440","0QSBuVbDQtvpBFeGoRdHZS"
"Whenever, Wherever","Shakira","Laundry Service","Favorite Songs","Favorite","NLB630100324","2lnzGkdtDj5mtlcOW2yRtG"
"Walk Like an Egyptian","The Bangles","Get The Party Started: Essential Pop and Dance Anthems","Favorite Songs","Favorite","USSM19802606","0q3HPuC4ijfcxiRUeRbbb4"
"Zombie","The Cranberries","Los clásicos del rock 90's","Favorite Songs","Favorite","USIR29400443","3muZrUhs8L21nRudewsc3P"
"Video Killed The Radio Star","The Buggles","80s Chart Toppers","Favorite Songs","Favorite","GBAAN7900013","5vg3Nc4RBlQzn90mWJgaX2"
"We Found Love","Rihanna","Talk That Talk","Favorite Songs","Favorite","USUM71115507","6qn9YLKt13AGvpq9jfO8py"
"Without Me","Eminem","The Eminem Show","Favorite Songs","Favorite","USIR10211038","7lQ8MOhq6IN2w8EYcFNSUk"
"العاشق المتمرد","تقي الحسناوي","العاشق المتمرد","Favorite Songs","Favorite","FRX452175296","7JLWafAQx4pEhXsii667Kg"
"What She's Got - The Penis Song","Ray Jessel","Naughty or Nice","Favorite Songs","Favorite","USACW0910129","6AccKN6l3DlX7qeuJYMiy5"
"(I Just) Died In Your Arms","Cutting Crew","Classic Road Trip Songs","Favorite Songs","Favorite","GBAAA8600046","3qB3imBWEgiI13NPAUN6o9"
"Welcome To The Jungle","Guns N' Roses","Appetite For Destruction","Favorite Songs","Favorite","USGF18714801","0G21yYKMZoHa30cYVi1iA8"
"The Way You Make Me Feel - 2012 Remaster","Michael Jackson","Bad 25th Anniversary","Favorite Songs","Favorite","USSM11204981","0sKlV58cODrjxGFOyf9IXY"
"WORTH NOTHING (feat. Oliver Tree) - Fast & Furious: Drift Tape/Phonk Vol 1","TWISTED","WORTH NOTHING (feat. Oliver Tree) [Fast & Furious: Drift Tape/Phonk Vol 1]","Favorite Songs","Favorite","QZNWZ2297541","3PjbA0O5olhampPMdaB0V1"
"you were there for me","Henry Moodie","you were there for me","Favorite Songs","Favorite","UKW3Z2201508","0C3shWEOObGT5IxApC7Mkg"
"بتهون ريمكس - بيغ سام","بنك الأغاني","بتهون ريمكس - بيغ سام","Favorite Songs","Favorite","QZTAT2166626","4eDhVQogzmWYoz63sZUWhc"
"Viva La Vida","Coldplay","Viva La Vida or Death and All His Friends","Favorite Songs","Favorite","GBAYE0800265","1mea3bSkSGXuIRvnydlB5b"
"Wolves","Selena Gomez","Shut Up Lets Dance (Vol. II)","Favorite Songs","Favorite","USUM71712103","2ODoHba4valMJMaClv0ULz"
"Voyage voyage","Desireless","François","Favorite Songs","Favorite","DEQ858600201","2d8D7uk3tbAThjRkdfrx9c"
"Winterwood","Don McLean","American Pie","Favorite Songs","Favorite","USEM38600156","2k6wHVi4WetZAHr6liaZbl"
"Worth It (feat. Kid Ink)","Fifth Harmony","Reflection (Deluxe)","Favorite Songs","Favorite","USSM11406644","41Fflg7qHiVOD6dEPvsCzO"
"Young Dumb & Broke","Khalid","R&B Summer Vibes","Favorite Songs","Favorite","USRC11700144","05sT4flyiqhpXKHZMtkMKU"
"Whatever It Takes","Imagine Dragons","Pace With Care","Favorite Songs","Favorite","USUM71703515","6BzjBCu6IUHQHGym69yCKl"
"We Built This City","Starship","Knee Deep In The Hoopla","Favorite Songs","Favorite","USRC18503424","6OnfBiiSc9RGKiBKKtZXgQ"
"غيمة","KAMI MUZIC","غيمة","Favorite Songs","Favorite","QZFZ62135209","2PmRLLa8CfAlxTWV8FP0uT"
"Who Is She ?","I Monster","Neveroddoreven","Favorite Songs","Favorite","GBDKA0300194","1QxcWlk8PivolUaWcpAoNq"
"Your Love","The Outfield","Play Deep","Favorite Songs","Favorite","USSM10100176","0WoFs3EdGOx58yX5BtXvOa"
"Voulez-Vous","ABBA","DISCO - Revienta La Pista","Favorite Songs","Favorite","SEAYD7901020","36NZa1AskvXIjZkbAVF89h"
"You Shook Me All Night Long","AC/DC","Who Made Who","Favorite Songs","Favorite","AUAP08000047","6yl8Es1tCYD9WdSkeVLFw4"
"Wake Me Up Before You Go-Go","Wham!","Make It Big","Favorite Songs","Favorite","GBBBN0009712","0ikz6tENMONtK6qGkOrU3c"
"Story of My Life","One Direction","Midnight Memories (Deluxe)","Favorite Songs","Favorite","GBHMU1300210","4nVBt6MZDDP6tRVdQTgxJg"
"Uptown Girl","Billy Joel","The Best Feel Good Hits In The Galaxy","Favorite Songs","Favorite","USSM18300270","7k4mGcKI2qTeK3z7VDxySq"
"This Town","Niall Horan","Chill Your Mind","Favorite Songs","Favorite","USUG11601029","4fda4ba7yhh1LJo1jHmpfb"
"Take Me Home, Country Roads - Original Version","John Denver","Poems, Prayers and Promises","Favorite Songs","Favorite","USRC11100481","1YYhDizHx7PnDhAhko6cDS"
"Uptown Funk (feat. Bruno Mars) - Radio Edit","Mark Ronson","Party Mixtape","Favorite Songs","Favorite","GBARL1401540","3Cb5WX4pYQE3CDDKglqfGt"
"Stay A Little Longer","Brothers Osborne","Best Country Of The Decade: 2010-2019","Favorite Songs","Favorite","USUM71502488","5KqgCoUfSSqANtyVoHv6Ml"
"traitor","Olivia Rodrigo","And I love you more than my life","Favorite Songs","Favorite","USUG12101243","28Efn5PpiinzydPUCUj3Gb"
"Talking to the Moon","Bruno Mars","Doo-Wops & Hooligans","Favorite Songs","Favorite","USAT21001985","1wVuPmvt6AWvTL5W2GJnzZ"
"There's Nothing Holdin' Me Back","Shawn Mendes","Best Hits of 2023","Favorite Songs","Favorite","USUM71702833","0j7szovd6V8cju3BXtOF53"
"Ta'a Ninsa","Melhem Barakat","Yemkin Nithana Behobek","Favorite Songs","Favorite","FR6V80367406","47SPPLYstSuyxxSG7WhaNJ"
"Sound of da Police","KRS-One","Return of the Boom Bap","Favorite Songs","Favorite","GBAHK9300100","3Y6XWs8xMlCngyIxNOFnsp"
"Total Eclipse of the Heart","Bonnie Tyler","Faster Than the Speed of Night","Favorite Songs","Favorite","GBBBN8302012","1VrfLrBviw9A6JzRoo3t2C"
"The Tears of a Clown","The English Beat","The Tears of a Clown","Favorite Songs","Favorite","GBAYK0900498","3M2mTLjRXRW8dE7j3KTaUv"
"Superman Sin Capa","El Super Nuevo","Superman Sin Capa","Favorite Songs","Favorite","TCACO1631649","0DddndOK6s6sMu06cwNcFM"
"Sweater Weather","The Neighbourhood","I Love You. (10th Anniversary Edition)","Favorite Songs","Favorite","USSM11300891","00xYOITpx6SEi1ntfdlA39"
"Sweet Dreams (Are Made of This) - 2005 Remaster","Eurythmics","Sweet Dreams (Are Made Of This)","Favorite Songs","Favorite","GBARL0300589","1TfqLAPs4K3s2rJMoCokcS"
"Trouble In Paradise","Alice Merton","Mint","Favorite Songs","Favorite","DEVQ71900007","3N4v33W3acVCQRWwUENDr7"
"Style","Taylor Swift","1989","Favorite Songs","Favorite","USCJY1431319","71PmZqBXH0RUETqxpwlV0w"
"Someone Like You","Adele","21","Favorite Songs","Favorite","GBBKS1000351","3bNv3VuUOKgrf5hu3YcuRo"
"Someone To You","BANNERS","Valentines Day 2022","Favorite Songs","Favorite","USUM71705215","3qHhEwZsqGsLspbNCv4Tfr"
"Tourner dans le vide","Indila","Mini World (Deluxe)","Favorite Songs","Favorite","FRUM71400047","5BgX4KuvbDI0MzWmnP3Bll"
"That's What It Takes","NEFFEX","Best of NEFFEX: 100 in 100 Pt. 2","Favorite Songs","Favorite","TCAFR2182498","6oWuJKkRv6nm17uOM0oJAb"
"Thunderstruck","AC/DC","The Razors Edge","Favorite Songs","Favorite","AUAP09000014","57bgtoPSgt236HzfBOd8kj"
"Sorry Not Sorry","Demi Lovato","Best of 2017","Favorite Songs","Favorite","USUM71707196","5aER7dds47G7UOfUtrnhQG"
"Toca Toca","Fly Project","Toca Toca (Remixes)","Favorite Songs","Favorite","ROROT1313101","3HUDCgZgaY3ZVWohToy4LJ"
"Somethin' Bad (with Carrie Underwood)","Miranda Lambert","Platinum","Favorite Songs","Favorite","USRN11300235","6s9m5J92By7jii22Q2XtY2"
"Targahali - Ambient Remix","George Wassouf","Wassouf Remixed","Favorite Songs","Favorite","FR96X2265586","34WAdIZYzB0IoQaVJp5tLs"
"Treat You Better","Shawn Mendes","Mega Hits 2016","Favorite Songs","Favorite","USUM71604711","3qJ4r12oBqm89GyofKj00X"
"Unstoppable","Sia","This Is Acting","Favorite Songs","Favorite","USRC11502934","059ACLUOyEcdruA2m9f2jd"
"Supermarket Flowers","Ed Sheeran","÷ (Deluxe)","Favorite Songs","Favorite","GBAHS1700040","4VuS959DSpr82t3qBqCrWG"
"Tití Me Preguntó","Bad Bunny","Un Verano Sin Ti","Favorite Songs","Favorite","QM6MZ2214878","1IHWl5LamUGEuP4ozKQSXZ"
"Umbrella","Rihanna","Good Girl Gone Bad: Reloaded","Favorite Songs","Favorite","USUM70736771","49FYlytm3dAAraYgpoJZux"
"Those Eyes","New West","Mix: Éxitos 2023","Favorite Songs","Favorite","TCAEE1990215","0B4AGsH3tohP9zufcuXH5J"
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","Silvester 2024","Favorite Songs","Favorite","USUM71814888","4vFY18qrsij8Bu1FrLPzUB"
"Total Eclipse Of The Heart (Glee Cast Version) (feat. Jonathan Groff)","Glee Cast","Glee: The Music, Volume 3 Showstoppers","Favorite Songs","Favorite","USQX91000304","4KLp7sKY2YCzaSQelZZjZr"
"Three Little Birds - Alternate Mix","Bob Marley & The Wailers","Exodus (Deluxe Edition)","Favorite Songs","Favorite","USIR27700352","4X4uxsYDtTqh9AkEUkMB1t"
"Until I Found You","Stephen Sanchez","Cleaning Motivation","Favorite Songs","Favorite","USUG12103651","3NopSKRrA8jrNqQLkJnm2L"
"Sorry","Justin Bieber","Party Night 2023","Favorite Songs","Favorite","USUM71516760","339tbnbFhmvdF1dQ4j0ISM"
"Thank You","Dido","The 90s: Decade of Classics","Favorite Songs","Favorite","USAR19900870","6NmtmLh91QnoqpiwnOFJq1"
"Sway","Michael Bublé","The Essential Michael Bublé","Favorite Songs","Favorite","USRE11300279","0VMZxc2K9VFfSEjN7UIm0y"
"Someone You Loved","Lewis Capaldi","Winter 2023 | De Beste Songs Voor De Koude Dagen","Favorite Songs","Favorite","DEUM71807062","5dRPrT9AMyQvAzC4v3CWMJ"
"Stereo Hearts","Gym Class Heroes","Just the Way You Are - Hit Rewind","Favorite Songs","Favorite","USAT21101071","6Xzqqu3DKvBr1YreRC3nww"
"Strip That Down","Liam Payne","Best Of 2017","Favorite Songs","Favorite","GBUM71701628","0R4S0tCsiBt4sx8dYZXDTS"
"Thunder","Imagine Dragons","Marathon Training","Favorite Songs","Favorite","USUM71704167","6SOsaUAsAYiROYmyoRfMYo"
"Sweet Little Lies","bülow","Sweet Little Lies","Favorite Songs","Favorite","CAUM71800310","6ZahaGPhyiXTi1pLEtGM6e"
"This Girl - Kungs Vs. Cookin' On 3 Burners","Kungs","Cardio music 2020","Favorite Songs","Favorite","FR9W11601798","4NDKiIgR7ludoZVD79LdDn"
"Take Me To Church","Hozier","Hozier","Favorite Songs","Favorite","IEACJ1300031","3dYD57lRAUcMHufyqn9GcI"
"Summertime Sadness","Lana Del Rey","sad songs 2021: crying and depressing","Favorite Songs","Favorite","GBUM71111565","2noh4O4ShG2C3cOa7ibpWx"
"Someone Else","Duncan Laurence","Loving You Is A Losing Game","Favorite Songs","Favorite","NL1TK2000011","6gPMtBtZUNAHnbDJ0zOnxB"
"Roar","Katy Perry","Roar","Favorite Songs","Favorite","USUM71308669","3sAIY2jtHpUHKfwDSSVgMM"
"Pressure","Billy Joel","Greatest Hits Volume I & Volume II","Favorite Songs","Favorite","USSM18100395","5yau40VqEGXgvWwvJCOafc"
"Sign of the Times","Europe","The Final Countdown: The Best Of Europe","Favorite Songs","Favorite","USSM18800128","6lDOd09xa76ZCZnl5AkCxm"
"Smooth Operator - 2011 Remastered","Sade","Românticas Anos 80","Favorite Songs","Favorite","GBARL1100319","0kbQzJDzxcVaQJIOSkcSAP"
"Smooth Criminal - Radio Edit","Michael Jackson","The Essential Michael Jackson","Favorite Songs","Favorite","USSM19909073","2GVYPY8Sv7U7cJkDFu3Ft1"
"Safi Ya Laban","Khair Music - جماعة خير","A Curse","Favorite Songs","Favorite","QZFZ71993479","4Pnf6TPYWerhxYMeBXTnVE"
"Self Control","Laura Branigan","80er - Alle Hits","Favorite Songs","Favorite","USAT28400011","63s4ZwJueacIZADBmsPGK9"
"Saken","Nina Abdel Malak","Eza","Favorite Songs","Favorite","LBA131700983","7pOzNE5L7PPVKvBoRlmVvw"
"Shadows Of The Night","Pat Benatar","Get Nervous","Favorite Songs","Favorite","USCH38400069","6pwQEpLOlwclrsjgEOHEp0"
"Skyfall","Adele","Skyfall","Favorite Songs","Favorite","GBBKS1200164","6VObnIkLVruX4UVyxWhlqm"
"Princesas","Pereza","Animales","Favorite Songs","Favorite","ES5020500059","3hlWUNjAlbZ6nOjAbrivBv"
"Safe And Sound","Capital Cities","Apero at home","Favorite Songs","Favorite","USCA21203108","12oUBPq3rUJGeTJhSFJxy7"
"Salt","Ava Max","Break Up Songs and Tearjerkers","Favorite Songs","Favorite","USAT21906991","1HckRxSETVAOyRz5Y6XYE0"
"Seven Nation Army","The White Stripes","Elephant","Favorite Songs","Favorite","USVT10300001","3dPQuX8Gs42Y7b454ybpMR"
"Ramenez la coupe à la maison","Vegedream","Marchand de sable","Favorite Songs","Favorite","UKGD81800015","1m0UFnuTktOkksvjbF9z0m"
